trait_type,value,count,percent
稀有度,普通,854,85.49%
稀有度,稀有,122,12.21%
稀有度,史诗,19,1.90%
稀有度,传说,4,0.40%
角色,牛来,236,23.62%
角色,路人牛,213,21.32%
角色,豹拉,181,18.12%
角色,牛妈,127,12.71%
角色,灵蛇,96,9.61%
角色,狼狗,90,9.01%
角色,云雀,56,5.61%
姿势,直立呆站,511,51.15%
姿势,T-pose残留,302,30.23%
姿势,单手举起,186,18.62%
五官,豆眼,407,40.74%
五官,死鱼眼,256,25.63%
五官,斗鸡眼,142,14.21%
五官,五星眼,98,9.81%
五官,少了一只眼,96,9.61%
贴图,原厂贴图,622,62.26%
贴图,UV接缝可见,209,20.92%
贴图,贴图丢失,150,15.02%
贴图,牛市金身,18,1.80%
衣服,无,377,37.74%
衣服,红披风,87,8.71%
衣服,黑皮夹克,62,6.21%
衣服,股民西装马甲,60,6.01%
衣服,校服外套,56,5.61%
衣服,红领巾,54,5.41%
衣服,红唐装,53,5.31%
衣服,牛来卫衣,49,4.90%
衣服,白大褂,41,4.10%
衣服,7号球衣,38,3.80%
衣服,牛马工牌衬衫,37,3.70%
衣服,黄雨衣,31,3.10%
衣服,皮草大衣,27,2.70%
衣服,勇士铠甲,27,2.70%
配饰,无,194,19.42%
配饰,电影票根,96,9.61%
配饰,保龄球果子,52,5.21%
配饰,方向盘,52,5.21%
配饰,牛奶瓶,45,4.50%
配饰,一把韭菜,44,4.40%
配饰,牺牲光环,44,4.40%
配饰,K线小旗,42,4.20%
配饰,爆米花桶,41,4.10%
配饰,五星胸牌,38,3.80%
配饰,场记板,34,3.40%
配饰,奖杯,32,3.20%
配饰,金元宝,32,3.20%
配饰,锦旗,32,3.20%
配饰,麦克风,30,3.00%
配饰,股民墨镜,28,2.80%
配饰,篮球,26,2.60%
配饰,口罩,26,2.60%
配饰,折扇,25,2.50%
配饰,耳机,22,2.20%
配饰,假胡子,21,2.10%
配饰,3D眼镜,20,2.00%
配饰,安全帽,19,1.90%
配饰,金冠,4,0.40%
背景,大平地,151,15.12%
背景,影厅,92,9.21%
背景,梦境,75,7.51%
背景,悬崖推土车,69,6.91%
背景,牛角古树,65,6.51%
背景,荒漠,63,6.31%
背景,牛群集会,60,6.01%
背景,涨停板,59,5.91%
背景,贴图树林,49,4.90%
背景,牛马工位,48,4.80%
背景,水墨河谷,47,4.70%
背景,云上梦境,47,4.70%
背景,荒漠夜,42,4.20%
背景,影院门口,39,3.90%
背景,山洞里,37,3.70%
背景,跌停板,35,3.50%
背景,深渊,21,2.10%
特效,无,416,41.64%
特效,弹幕,205,20.52%
特效,加场印章,112,11.21%
特效,票房计数器,94,9.41%
特效,穿模标注,90,9.01%
特效,涨停标签,82,8.21%
见证者,云雀缺席,580,58.06%
见证者,云雀在场,419,41.94%
画质,影院翻拍,562,56.26%
画质,片源直出,437,43.74%
