token_id,name,source,稀有度,角色,姿势,五官,贴图,衣服,配饰,背景,特效,见证者,画质
1,牛来 #0001,ipfs-original,稀有,牛妈,单手举起,少了一只眼,UV接缝可见,黑皮夹克,无,影厅,加场印章,云雀在场,影院翻拍
2,牛来 #0002,ipfs-original,普通,云雀,直立呆站,五星眼,原厂贴图,无,无,荒漠,无,云雀缺席,影院翻拍
3,牛来 #0003,ipfs-original,普通,云雀,直立呆站,豆眼,原厂贴图,无,保龄球果子,牛角古树,无,云雀缺席,影院翻拍
4,牛来 #0004,ipfs-original,史诗,牛来,直立呆站,少了一只眼,UV接缝可见,无,电影票根,梦境,票房计数器,云雀缺席,影院翻拍
5,牛来 #0005,ipfs-original,普通,路人牛,单手举起,豆眼,原厂贴图,红披风,K线小旗,牛马工位,无,云雀缺席,影院翻拍
6,牛来 #0006,ipfs-original,普通,牛来,单手举起,豆眼,原厂贴图,红披风,奖杯,荒漠,加场印章,云雀缺席,片源直出
7,牛来 #0007,okx-reconstructed,普通,路人牛,直立呆站,豆眼,UV接缝可见,红唐装,无,水墨河谷,无,云雀缺席,影院翻拍
8,牛来 #0008,ipfs-original,普通,狼狗,T-pose残留,豆眼,原厂贴图,黄雨衣,牛奶瓶,牛群集会,涨停标签,云雀缺席,影院翻拍
9,牛来 #0009,ipfs-original,普通,豹拉,直立呆站,死鱼眼,原厂贴图,皮草大衣,牛奶瓶,荒漠夜,弹幕,云雀缺席,影院翻拍
10,牛来 #0010,ipfs-original,普通,路人牛,T-pose残留,斗鸡眼,原厂贴图,无,五星胸牌,荒漠,穿模标注,云雀缺席,影院翻拍
11,牛来 #0011,ipfs-original,普通,路人牛,单手举起,豆眼,原厂贴图,无,无,影厅,无,云雀缺席,片源直出
12,牛来 #0012,ipfs-original,普通,灵蛇,直立呆站,豆眼,原厂贴图,无,无,悬崖推土车,加场印章,云雀在场,影院翻拍
13,牛来 #0013,ipfs-original,普通,牛来,T-pose残留,豆眼,UV接缝可见,勇士铠甲,一把韭菜,深渊,无,云雀在场,片源直出
14,牛来 #0014,ipfs-original,普通,豹拉,直立呆站,死鱼眼,UV接缝可见,无,无,跌停板,票房计数器,云雀缺席,影院翻拍
15,牛来 #0015,ipfs-original,普通,牛妈,T-pose残留,死鱼眼,原厂贴图,红唐装,一把韭菜,影厅,无,云雀在场,影院翻拍
16,牛来 #0016,ipfs-original,普通,路人牛,直立呆站,豆眼,原厂贴图,皮草大衣,麦克风,梦境,穿模标注,云雀缺席,片源直出
17,牛来 #0017,ipfs-original,普通,豹拉,单手举起,少了一只眼,UV接缝可见,白大褂,股民墨镜,牛群集会,票房计数器,云雀缺席,片源直出
18,牛来 #0018,ipfs-original,普通,豹拉,直立呆站,斗鸡眼,原厂贴图,红领巾,无,荒漠,涨停标签,云雀缺席,片源直出
19,牛来 #0019,ipfs-original,传说,牛来,单手举起,五星眼,牛市金身,红披风,金冠,影厅,票房计数器,云雀在场,片源直出
20,牛来 #0020,ipfs-original,普通,牛来,T-pose残留,死鱼眼,原厂贴图,股民西装马甲,爆米花桶,影院门口,弹幕,云雀缺席,片源直出
21,牛来 #0021,ipfs-original,普通,狼狗,直立呆站,豆眼,UV接缝可见,股民西装马甲,安全帽,山洞里,无,云雀在场,片源直出
22,牛来 #0022,ipfs-original,普通,豹拉,单手举起,死鱼眼,UV接缝可见,红领巾,无,涨停板,无,云雀在场,片源直出
23,牛来 #0023,ipfs-original,普通,牛妈,直立呆站,死鱼眼,贴图丢失,无,一把韭菜,荒漠,票房计数器,云雀缺席,影院翻拍
24,牛来 #0024,ipfs-original,普通,云雀,单手举起,豆眼,贴图丢失,红披风,篮球,梦境,无,云雀缺席,片源直出
25,牛来 #0025,ipfs-original,普通,路人牛,直立呆站,死鱼眼,原厂贴图,无,电影票根,荒漠,无,云雀缺席,影院翻拍
26,牛来 #0026,ipfs-original,普通,豹拉,单手举起,豆眼,原厂贴图,无,无,云上梦境,弹幕,云雀缺席,片源直出
27,牛来 #0027,ipfs-original,普通,狼狗,T-pose残留,豆眼,原厂贴图,白大褂,安全帽,影院门口,无,云雀在场,影院翻拍
28,牛来 #0028,ipfs-original,稀有,牛来,直立呆站,死鱼眼,贴图丢失,无,口罩,影院门口,加场印章,云雀在场,影院翻拍
29,牛来 #0029,ipfs-original,普通,牛来,直立呆站,豆眼,原厂贴图,无,折扇,影厅,无,云雀在场,影院翻拍
30,牛来 #0030,ipfs-original,普通,牛来,直立呆站,斗鸡眼,原厂贴图,7号球衣,保龄球果子,牛马工位,弹幕,云雀缺席,影院翻拍
31,牛来 #0031,ipfs-original,普通,路人牛,单手举起,豆眼,贴图丢失,无,牺牲光环,荒漠夜,无,云雀缺席,片源直出
32,牛来 #0032,ipfs-original,普通,灵蛇,直立呆站,豆眼,原厂贴图,无,无,梦境,加场印章,云雀缺席,影院翻拍
33,牛来 #0033,ipfs-original,普通,豹拉,单手举起,斗鸡眼,UV接缝可见,无,爆米花桶,涨停板,弹幕,云雀缺席,影院翻拍
34,牛来 #0034,ipfs-original,普通,豹拉,T-pose残留,死鱼眼,贴图丢失,红领巾,五星胸牌,大平地,涨停标签,云雀缺席,片源直出
35,牛来 #0035,ipfs-original,普通,豹拉,单手举起,五星眼,贴图丢失,牛来卫衣,牺牲光环,梦境,无,云雀缺席,片源直出
36,牛来 #0036,ipfs-original,普通,牛妈,T-pose残留,死鱼眼,原厂贴图,无,电影票根,牛马工位,涨停标签,云雀在场,影院翻拍
37,牛来 #0037,ipfs-original,普通,路人牛,直立呆站,死鱼眼,原厂贴图,红披风,无,大平地,无,云雀缺席,影院翻拍
38,牛来 #0038,ipfs-original,普通,豹拉,T-pose残留,少了一只眼,UV接缝可见,无,无,荒漠,穿模标注,云雀缺席,影院翻拍
39,牛来 #0039,ipfs-original,普通,牛来,T-pose残留,豆眼,原厂贴图,无,K线小旗,大平地,无,云雀缺席,影院翻拍
40,牛来 #0040,ipfs-original,史诗,豹拉,单手举起,豆眼,牛市金身,牛来卫衣,电影票根,梦境,无,云雀缺席,影院翻拍
41,牛来 #0041,ipfs-original,普通,灵蛇,T-pose残留,五星眼,UV接缝可见,7号球衣,金元宝,大平地,涨停标签,云雀缺席,影院翻拍
42,牛来 #0042,ipfs-original,普通,牛来,T-pose残留,豆眼,原厂贴图,黑皮夹克,电影票根,山洞里,无,云雀缺席,片源直出
43,牛来 #0043,ipfs-original,普通,牛来,直立呆站,斗鸡眼,原厂贴图,无,3D眼镜,云上梦境,无,云雀缺席,片源直出
44,牛来 #0044,ipfs-original,普通,豹拉,直立呆站,豆眼,原厂贴图,白大褂,电影票根,荒漠夜,无,云雀缺席,片源直出
45,牛来 #0045,okx-reconstructed,普通,豹拉,T-pose残留,斗鸡眼,原厂贴图,无,电影票根,大平地,穿模标注,云雀缺席,影院翻拍
46,牛来 #0046,ipfs-original,普通,牛妈,单手举起,死鱼眼,原厂贴图,7号球衣,保龄球果子,悬崖推土车,无,云雀在场,片源直出
47,牛来 #0047,ipfs-original,普通,豹拉,直立呆站,少了一只眼,原厂贴图,红领巾,耳机,悬崖推土车,弹幕,云雀缺席,影院翻拍
48,牛来 #0048,ipfs-original,普通,牛来,直立呆站,豆眼,原厂贴图,红披风,口罩,大平地,涨停标签,云雀缺席,影院翻拍
49,牛来 #0049,ipfs-original,普通,路人牛,T-pose残留,死鱼眼,原厂贴图,红唐装,篮球,山洞里,无,云雀在场,片源直出
50,牛来 #0050,ipfs-original,普通,狼狗,T-pose残留,豆眼,原厂贴图,无,无,贴图树林,穿模标注,云雀在场,影院翻拍
51,牛来 #0051,ipfs-original,普通,路人牛,T-pose残留,豆眼,原厂贴图,无,爆米花桶,山洞里,弹幕,云雀在场,影院翻拍
52,牛来 #0052,okx-reconstructed,普通,灵蛇,T-pose残留,死鱼眼,原厂贴图,牛来卫衣,保龄球果子,大平地,无,云雀缺席,影院翻拍
53,牛来 #0053,ipfs-original,普通,灵蛇,T-pose残留,豆眼,原厂贴图,黄雨衣,牛奶瓶,荒漠夜,无,云雀缺席,片源直出
54,牛来 #0054,ipfs-original,普通,狼狗,T-pose残留,五星眼,牛市金身,黑皮夹克,股民墨镜,大平地,弹幕,云雀缺席,片源直出
55,牛来 #0055,okx-reconstructed,普通,牛妈,直立呆站,五星眼,贴图丢失,红披风,电影票根,牛群集会,加场印章,云雀缺席,影院翻拍
56,牛来 #0056,ipfs-original,普通,牛来,T-pose残留,豆眼,原厂贴图,校服外套,篮球,大平地,弹幕,云雀缺席,影院翻拍
57,牛来 #0057,ipfs-original,普通,路人牛,单手举起,死鱼眼,原厂贴图,股民西装马甲,奖杯,梦境,无,云雀缺席,影院翻拍
58,牛来 #0058,ipfs-original,普通,路人牛,T-pose残留,死鱼眼,贴图丢失,无,锦旗,梦境,无,云雀缺席,片源直出
59,牛来 #0059,ipfs-original,普通,灵蛇,直立呆站,斗鸡眼,UV接缝可见,黑皮夹克,金元宝,影院门口,弹幕,云雀缺席,影院翻拍
60,牛来 #0060,ipfs-original,普通,灵蛇,T-pose残留,豆眼,原厂贴图,牛来卫衣,牛奶瓶,梦境,穿模标注,云雀缺席,影院翻拍
61,牛来 #0061,ipfs-original,普通,路人牛,直立呆站,斗鸡眼,原厂贴图,无,牛奶瓶,贴图树林,无,云雀缺席,片源直出
62,牛来 #0062,ipfs-original,普通,牛妈,直立呆站,死鱼眼,原厂贴图,牛马工牌衬衫,牛奶瓶,大平地,涨停标签,云雀缺席,片源直出
63,牛来 #0063,okx-reconstructed,普通,豹拉,T-pose残留,死鱼眼,原厂贴图,无,电影票根,贴图树林,无,云雀缺席,影院翻拍
64,牛来 #0064,ipfs-original,普通,牛来,直立呆站,豆眼,贴图丢失,牛马工牌衬衫,奖杯,山洞里,无,云雀在场,片源直出
65,牛来 #0065,ipfs-original,普通,狼狗,T-pose残留,豆眼,原厂贴图,红披风,股民墨镜,贴图树林,弹幕,云雀在场,影院翻拍
66,牛来 #0066,ipfs-original,普通,豹拉,T-pose残留,豆眼,UV接缝可见,无,五星胸牌,跌停板,穿模标注,云雀在场,影院翻拍
67,牛来 #0067,ipfs-original,普通,路人牛,T-pose残留,五星眼,原厂贴图,红唐装,保龄球果子,悬崖推土车,无,云雀缺席,片源直出
68,牛来 #0068,ipfs-original,稀有,牛来,单手举起,豆眼,原厂贴图,红披风,牛奶瓶,牛角古树,弹幕,云雀在场,片源直出
69,牛来 #0069,ipfs-original,普通,路人牛,T-pose残留,豆眼,原厂贴图,校服外套,一把韭菜,贴图树林,无,云雀缺席,片源直出
70,牛来 #0070,ipfs-original,普通,豹拉,T-pose残留,死鱼眼,原厂贴图,无,无,牛群集会,无,云雀缺席,影院翻拍
71,牛来 #0071,ipfs-original,普通,路人牛,单手举起,豆眼,UV接缝可见,无,电影票根,涨停板,穿模标注,云雀缺席,片源直出
72,牛来 #0072,ipfs-original,普通,牛来,T-pose残留,斗鸡眼,原厂贴图,红唐装,五星胸牌,影厅,无,云雀缺席,片源直出
